Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
4 to 10 Years,MCA,$65K-$95K,Vienna,Part-Time,Procurement Manager,Procurement Analyst,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.",Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Indian Bank
3 to 11 Years,BA,$61K-$87K,Douglas,Intern,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge,Jones Lang LaSalle
1 to 11 Years,BBA,$57K-$81K,Islamabad,Part-Time,Customer Service Representative,Live Chat Support Agent,"A Live Chat Support Agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions.",Live chat support Online customer communication Problem resolution,SBI Life Insurance Company
3 to 14 Years,B.Tech,$60K-$83K,Lisbon,Part-Time,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Hochschild Mining
5 to 10 Years,BBA,$58K-$101K,Majuro,Part-Time,Copywriter,Technical Copywriter,"Technical Copywriters create content that explains complex technical concepts in a clear and accessible manner. They often write user manuals, product documentation, and technical guides to assist users and customers.",Technical writing Documentation User manuals Technical specifications Industry-specific terminology Research skills,Industrial and Commercial Bank of China (ICBC)
4 to 14 Years,MBA,$57K-$106K,Monrovia,Intern,Systems Administrator,Database Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",BHP Group
4 to 8 Years,M.Tech,$60K-$106K,San Jose,Part-Time,Physical Therapist,Geriatric Physical Therapist,"Focus on the physical therapy needs of elderly patients, addressing mobility and age-related conditions.",Geriatric rehabilitation Fall prevention Elderly patient care,Jackson Financial
2 to 9 Years,M.Com,$59K-$124K,Sarajevo,Contract,Chemical Analyst,Quality Control Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,CF Industries Holdings
1 to 9 Years,B.Tech,$62K-$127K,Ngerulmud,Intern,SEM Specialist,SEM Analyst,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,Commonwealth Bank of Australia
1 to 15 Years,BA,$58K-$118K,Rabat,Full-Time,Account Director,Business Development Director,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals.",Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,AT&T
0 to 14 Years,MCA,$59K-$116K,Cairo,Intern,Civil Engineer,Structural Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Conagra Brands
0 to 10 Years,M.Tech,$57K-$112K,Dili,Intern,Marketing Manager,Product Marketing Manager,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.",Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration,Beach Energy
4 to 12 Years,M.Tech,$58K-$80K,Suva,Contract,Marketing Coordinator,Marketing Specialist,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Alumina Limited
0 to 15 Years,MCA,$56K-$94K,Abu Dhabi,Full-Time,Brand Ambassador,Brand Promoter,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness.",Brand promotion Marketing knowledge Communication skills Sales techniques Product knowledge,Maruti Suzuki India
1 to 12 Years,BBA,$60K-$112K,Port of Spain,Part-Time,Software Developer,Mobile App Developer,Mobile App Developers design and develop mobile applications for various platforms. They collaborate with cross-functional teams to create user-friendly and functional mobile apps that meet user needs.,"Mobile app development languages (e.g., Java, Swift, Kotlin) Cross-platform development (e.g., React Native, Flutter) Mobile app design principles APIs and web services integration Debugging and troubleshooting","The Vanguard Group, Inc."
3 to 10 Years,B.Com,$58K-$106K,Harare,Intern,Marketing Specialist,Marketing Analytics Specialist,"Marketing Analytics Specialists analyze marketing data to derive insights and inform marketing strategies. They use tools like Google Analytics and data analysis software to track campaign performance, customer behavior, and market trends.",Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,HeidelbergCement AG
0 to 10 Years,B.Tech,$64K-$93K,Kingston,Contract,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Berkshire Hathaway
